danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.797,0.686,11,-10.971,0,0.14,0.589,0.265,0.216,0.813,116.749,277200,blues
0.477,0.6,8,-11.833,1,0.0348,0.134,0.00478,0.0416,0.921,115.925,248893,blues
0.541,0.283,0,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,228627,blues
0.51,0.223,4,-11.205,1,0.0432,0.851,0.00539,0.114,0.413,168.652,271000,blues
0.525,0.879,11,-4.927,0,0.0469,0.0582,0.00396,0.123,0.842,118.079,260987,blues
0.311,0.473,9,-6.214,0,0.0271,0.52,0.197,0.0805,0.243,145.477,446240,blues
0.646,0.807,2,-5.87,1,0.132,0.149,0.000593,0.0639,0.786,125.516,247400,blues
0.572,0.348,0,-13.454,1,0.0294,0.44,0.000721,0.235,0.34,73.304,275267,blues
0.603,0.265,8,-11.627,1,0.0372,0.806,1.65e-06,0.12,0.71,131.188,268347,blues
0.584,0.278,4,-18.566,1,0.0312,0.55,0.21,0.255,0.75,81.712,215027,blues
0.848,0.403,9,-10.984,1,0.0364,0.841,0.000365,0.0997,0.861,106.7,94667,blues
0.745,0.511,5,-14.908,1,0.0528,0.7,1.24e-05,0.139,0.876,137.214,133619,blues
0.517,0.795,4,-9.633,1,0.0594,0.585,0.00375,0.226,0.875,113.534,172060,blues
0.548,0.874,8,-10.147,1,0.0463,0.279,0.0463,0.173,0.966,172.129,141933,blues
0.654,0.316,0,-18.692,0,0.041,0.786,0.0563,0.131,0.697,94.485,317133,blues
0.613,0.934,0,-3.711,1,0.0342,0.0412,0.000308,0.0882,0.776,107.274,283267,blues
0.328,0.417,0,-10.679,0,0.0298,0.584,0.0257,0.0886,0.29,155.898,464453,blues
0.599,0.546,10,-8.866,1,0.0328,0.766,1.91e-06,0.104,0.493,85.321,160360,blues
0.862,0.707,0,-6.742,1,0.0324,0.0947,0.00665,0.124,0.863,122.21,268160,blues
0.394,0.0406,9,-23.179,1,0.044,0.968,0.0453,0.0976,0.2,116.117,198560,blues
